example_id,conversation_id,customer_message,conversation_context,true_intent,expected_action,escalation_reason,notes,timestamp,brand,reference_brand_response
gold_011,10001264,@AppleSupport I cannot sign in to iCloud on my new MacBook Pro. password is correct,,apple_id_icloud,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Tue Oct 03 11:02:00 +0000 2017,AppleSupport,@USER We want to help with your Apple ID. Please DM us the Apple ID email address (not the password) so we can point you to the right iforgot.apple.com steps. We cannot unlock accounts on Twitter.
gold_012,10001614,@AppleSupport iCloud keychain and Apple ID keep asking me to sign in every 10 minutes,,apple_id_icloud,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Wed Oct 04 03:22:00 +0000 2017,AppleSupport,@USER We want to help with your Apple ID. Please DM us the Apple ID email address (not the password) so we can point you to the right iforgot.apple.com steps. We cannot unlock accounts on Twitter.
gold_013,10001650,@AppleSupport my Apple ID is locked and the reset email never arrives.,customer: @AppleSupport still happening after I restarted | brand: @USER Thanks for the extra detail. We are still looking at this with you.,apple_id_icloud,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Wed Oct 04 05:47:00 +0000 2017,AppleSupport,@USER We want to help with your Apple ID. Please DM us the Apple ID email address (not the password) so we can point you to the right iforgot.apple.com steps. We cannot unlock accounts on Twitter.
gold_014,10001506,@AppleSupport two-factor is sending codes to a phone I no longer have. locked out,,apple_id_icloud,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Tue Oct 03 22:21:00 +0000 2017,AppleSupport,"@USER Please do not share passwords or security questions on Twitter. Reach us via DM with the Apple ID email only, and we will share the official recovery link."
gold_015,10001494,@AppleSupport iCloud keychain and apple ID keep asking me to sign in every 10 minutes,,apple_id_icloud,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Tue Oct 03 21:46:00 +0000 2017,AppleSupport,"@USER Please do not share passwords or security questions on Twitter. Reach us via DM with the Apple ID email only, and we will share the official recovery link."
gold_016,10001414,@AppleSupport I cannot sign in to iCloud on my new iPad Pro. password is correct,,apple_id_icloud,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Tue Oct 03 18:02:00 +0000 2017,AppleSupport,@USER We want to help with your Apple ID. Please DM us the Apple ID email address (not the password) so we can point you to the right iforgot.apple.com steps. We cannot unlock accounts on Twitter.
gold_017,10003424,@AppleSupport I restored my iPhone 8 and all my photos are gone.,,backup_storage,ESCALATE,Possible data loss or backup recovery needs a specialist.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Possible data loss or backup recovery needs a specialist.),Sat Oct 07 15:50:00 +0000 2017,AppleSupport,"@USER We cannot roll iCloud backups backward to last week from this channel. If a newer backup overwrote the old one, a specialist has to review what (if anything) can be recovered."
gold_018,10003096,@AppleSupport iCloud backup failed every night this week on iPhone 6s,,backup_storage,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Storage / backup explanation without confirmed data-loss language.),Sat Oct 07 00:33:00 +0000 2017,AppleSupport,"@USER Restore stuck: stay on Wi-Fi and power. If it does not move for several hours, we should look at a computer-based restore. Do you have a Mac or PC available?"
gold_019,10003068,@AppleSupport Messages disappeared after restore. can they come back from iCloud,,backup_storage,ESCALATE,Possible data loss or backup recovery needs a specialist.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Possible data loss or backup recovery needs a specialist.),Fri Oct 06 23:16:00 +0000 2017,AppleSupport,"@USER Backup failed: Settings > [your name] > iCloud > iCloud Backup. If it says not enough storage, that is the blocker. We cannot expand storage from Twitter; you would change the plan in Settings."
gold_020,10003284,@AppleSupport photos not uploading to iCloud from iPhone 8 Plus for 3 days,,backup_storage,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Storage / backup explanation without confirmed data-loss language.),Sat Oct 07 09:18:00 +0000 2017,AppleSupport,"@USER Restore stuck: stay on Wi-Fi and power. If it does not move for several hours, we should look at a computer-based restore. Do you have a Mac or PC available?"
gold_021,10003400,@AppleSupport not enough iCloud storage to backup and i already deleted videos,customer: @AppleSupport still happening after I restarted | brand: @USER Sorry it is not resolved yet. Let's try the next step.,backup_storage,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Storage / backup explanation without confirmed data-loss language.),Sat Oct 07 15:27:00 +0000 2017,AppleSupport,"@USER iCloud storage numbers include Mail, backups, and iCloud Drive, not just photo count. Check Settings > [your name] > iCloud > Manage Storage and tell us what the biggest items are."
gold_022,10003044,@AppleSupport photos not uploading to iCloud from iPhone 7 Plus for 3 days,,backup_storage,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Storage / backup explanation without confirmed data-loss language.),Fri Oct 06 22:06:00 +0000 2017,AppleSupport,"@USER Backup failed: Settings > [your name] > iCloud > iCloud Backup. If it says not enough storage, that is the blocker. We cannot expand storage from Twitter; you would change the plan in Settings."
gold_023,10003274,@AppleSupport I restored my iPhone 8 and all my photos are gone. I already tried restarting.,,backup_storage,ESCALATE,Possible data loss or backup recovery needs a specialist.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Possible data loss or backup recovery needs a specialist.),Sat Oct 07 08:50:00 +0000 2017,AppleSupport,"@USER We cannot roll iCloud backups backward to last week from this channel. If a newer backup overwrote the old one, a specialist has to review what (if anything) can be recovered."
gold_024,10003300,@AppleSupport iCloud says I am out of storage but I only have a few hundred photos,customer: @AppleSupport I already tried that yesterday | brand: @USER Thanks for the extra detail. We are still looking at this with you.,backup_storage,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Storage / backup explanation without confirmed data-loss language.),Sat Oct 07 10:47:00 +0000 2017,AppleSupport,"@USER iCloud storage numbers include Mail, backups, and iCloud Drive, not just photo count. Check Settings > [your name] > iCloud > Manage Storage and tell us what the biggest items are."
gold_025,10003176,@AppleSupport restore from iCloud is stuck at 18% for hours,,backup_storage,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Storage / backup explanation without confirmed data-loss language.),Sat Oct 07 04:17:00 +0000 2017,AppleSupport,"@USER iCloud storage numbers include Mail, backups, and iCloud Drive, not just photo count. Check Settings > [your name] > iCloud > Manage Storage and tell us what the biggest items are."
gold_026,10003090,@AppleSupport iCloud says I am out of storage but I only have a few hundred photos,customer: @AppleSupport still happening after I restarted | brand: @USER Thanks for the extra detail. We are still looking at this with you.,backup_storage,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Storage / backup explanation without confirmed data-loss language.),Sat Oct 07 00:59:00 +0000 2017,AppleSupport,"@USER Photos missing after a restore may still be in iCloud.com > Photos. Please check there before we assume data loss. If they are not, this needs a specialist — do not keep restoring."
gold_027,10003506,@AppleSupport restore from iCloud is stuck at 40% for hours,,backup_storage,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Storage / backup explanation without confirmed data-loss language.),Sat Oct 07 19:41:00 +0000 2017,AppleSupport,"@USER Backup failed: Settings > [your name] > iCloud > iCloud Backup. If it says not enough storage, that is the blocker. We cannot expand storage from Twitter; you would change the plan in Settings."
gold_028,10003466,@AppleSupport i paid for 200GB but backup still says storage full,,backup_storage,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Storage / backup explanation without confirmed data-loss language.),Sat Oct 07 17:49:00 +0000 2017,AppleSupport,"@USER Photos missing after a restore may still be in iCloud.com > Photos. Please check there before we assume data loss. If they are not, this needs a specialist — do not keep restoring."
gold_029,10003018,@AppleSupport how do I recover contacts I lost when I set up iPad Pro as new,,backup_storage,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Information / how-to request that can be answered from public documentation patterns.),Fri Oct 06 20:56:00 +0000 2017,AppleSupport,"@USER Backup failed: Settings > [your name] > iCloud > iCloud Backup. If it says not enough storage, that is the blocker. We cannot expand storage from Twitter; you would change the plan in Settings."
gold_030,10003174,@AppleSupport I turned on iCloud Photos and now originals vanished from iPhone 6s,,backup_storage,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Storage / backup explanation without confirmed data-loss language.),Sat Oct 07 04:10:00 +0000 2017,AppleSupport,"@USER We cannot roll iCloud backups backward to last week from this channel. If a newer backup overwrote the old one, a specialist has to review what (if anything) can be recovered."
gold_031,10003148,"@AppleSupport I need last week's backup, not the one from this morning that overwrote it",,backup_storage,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Storage / backup explanation without confirmed data-loss language.),Sat Oct 07 03:00:00 +0000 2017,AppleSupport,"@USER We cannot roll iCloud backups backward to last week from this channel. If a newer backup overwrote the old one, a specialist has to review what (if anything) can be recovered."
gold_032,10003520,@AppleSupport not enough iCloud storage to backup and I already deleted videos,customer: @AppleSupport I already tried that yesterday | brand: @USER Thanks for the extra detail. We are still looking at this with you.,backup_storage,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Storage / backup explanation without confirmed data-loss language.),Sat Oct 07 21:03:00 +0000 2017,AppleSupport,"@USER Restore stuck: stay on Wi-Fi and power. If it does not move for several hours, we should look at a computer-based restore. Do you have a Mac or PC available?"
gold_033,10002230,@AppleSupport iCloud storage billed me after I turned it off. please refund,customer: @AppleSupport still happening after I restarted | brand: @USER Thanks for the extra detail. We are still looking at this with you.,billing_subscription,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Thu Oct 05 08:51:00 +0000 2017,AppleSupport,"@USER For Apple Music / iCloud subscriptions, check Settings > [your name] > Subscriptions. If you already cancelled and were billed again, DM us the Apple ID email so a specialist can review."
gold_034,10002006,@AppleSupport my receipt shows two App Store purchases I did not make,,billing_subscription,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Wed Oct 04 21:41:00 +0000 2017,AppleSupport,"@USER For Apple Music / iCloud subscriptions, check Settings > [your name] > Subscriptions. If you already cancelled and were billed again, DM us the Apple ID email so a specialist can review."
gold_035,10001934,@AppleSupport duplicate iTunes charge on my card today. I only bought one album,,billing_subscription,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Wed Oct 04 18:18:00 +0000 2017,AppleSupport,@USER Duplicate charges: please keep the receipt emails and file via reportaproblem.apple.com. Do not post full card numbers here. We cannot reverse a bank charge from this channel.
gold_036,10002074,@AppleSupport there is a charge I did not authorize on my App Store account,,billing_subscription,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Thu Oct 05 00:50:00 +0000 2017,AppleSupport,"@USER Kid / Family Sharing purchases: the organizer can turn on Ask to Buy. For the charge that already posted, use reportaproblem.apple.com — we cannot refund it in this thread."
gold_037,10002116,@AppleSupport subscription I never signed up for is renewing. billed again,,billing_subscription,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Thu Oct 05 02:49:00 +0000 2017,AppleSupport,"@USER Unexpected App Store charges should be reviewed from reportaproblem.apple.com. If a purchase was accidental, start there. We cannot confirm a refund until that form is processed."
gold_038,10002026,@AppleSupport subscription I never signed up for is renewing. billed again,,billing_subscription,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Wed Oct 04 22:37:00 +0000 2017,AppleSupport,"@USER We can help look at a charge, but we cannot issue refunds on Twitter. Please DM the Apple ID email on the receipt (not a screenshot of your full card) and the date of the charge."
gold_039,10002350,@AppleSupport iCloud storage billed me after I turned it off. please refund,customer: @AppleSupport that did not work | brand: @USER Thanks for the extra detail. We are still looking at this with you.,billing_subscription,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Thu Oct 05 14:27:00 +0000 2017,AppleSupport,"@USER We can help look at a charge, but we cannot issue refunds on Twitter. Please DM the Apple ID email on the receipt (not a screenshot of your full card) and the date of the charge."
gold_040,10005452,@AppleSupport I cannot download apps because of a billing problem on my Apple ID. charged me mystery items,,billing_subscription,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Billing blocked downloads; billing_subscription over apple_id_icloud. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Wed Oct 11 15:09:00 +0000 2017,AppleSupport,@USER Duplicate charges: please keep the receipt emails and file via reportaproblem.apple.com. Do not post full card numbers here. We cannot reverse a bank charge from this channel.
gold_041,10001978,@AppleSupport I requested a refund 5 days ago and have heard nothing. still charged,,billing_subscription,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Wed Oct 04 20:24:00 +0000 2017,AppleSupport,"@USER Unexpected App Store charges should be reviewed from reportaproblem.apple.com. If a purchase was accidental, start there. We cannot confirm a refund until that form is processed."
gold_042,10002194,@AppleSupport there is a charge I did not authorize on my App Store account,,billing_subscription,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Thu Oct 05 06:26:00 +0000 2017,AppleSupport,"@USER For Apple Music / iCloud subscriptions, check Settings > [your name] > Subscriptions. If you already cancelled and were billed again, DM us the Apple ID email so a specialist can review."
gold_043,10002284,@AppleSupport there is a charge I did not authorize on my App Store account,,billing_subscription,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Thu Oct 05 10:38:00 +0000 2017,AppleSupport,@USER Duplicate charges: please keep the receipt emails and file via reportaproblem.apple.com. Do not post full card numbers here. We cannot reverse a bank charge from this channel.
gold_044,10001808,@AppleSupport how do I get a refund for an app my kid bought by accident,,billing_subscription,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Wed Oct 04 12:28:00 +0000 2017,AppleSupport,@USER Duplicate charges: please keep the receipt emails and file via reportaproblem.apple.com. Do not post full card numbers here. We cannot reverse a bank charge from this channel.
gold_045,10002374,@AppleSupport there is a charge I did not authorize on my App Store account,,billing_subscription,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Thu Oct 05 14:50:00 +0000 2017,AppleSupport,"@USER Kid / Family Sharing purchases: the organizer can turn on Ask to Buy. For the charge that already posted, use reportaproblem.apple.com — we cannot refund it in this thread."
gold_046,10002330,@AppleSupport Apple Music family plan billed my personal card not the organizer,customer: @AppleSupport that did not work | brand: @USER Thanks for the extra detail. We are still looking at this with you.,billing_subscription,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Thu Oct 05 13:31:00 +0000 2017,AppleSupport,"@USER For Apple Music / iCloud subscriptions, check Settings > [your name] > Subscriptions. If you already cancelled and were billed again, DM us the Apple ID email so a specialist can review."
gold_047,10002106,@AppleSupport I cancelled Apple Music last month but you still billed me,,billing_subscription,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Thu Oct 05 02:21:00 +0000 2017,AppleSupport,"@USER For Apple Music / iCloud subscriptions, check Settings > [your name] > Subscriptions. If you already cancelled and were billed again, DM us the Apple ID email so a specialist can review."
gold_048,10002028,@AppleSupport charged for an in-app purchase that failed to deliver. want a refund,,billing_subscription,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Wed Oct 04 22:44:00 +0000 2017,AppleSupport,"@USER Unexpected App Store charges should be reviewed from reportaproblem.apple.com. If a purchase was accidental, start there. We cannot confirm a refund until that form is processed."
gold_049,10002894,@AppleSupport Wi-Fi greyed out on iPhone X. cannot toggle it at all,,connectivity,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Generic troubleshooting is historically handled in-thread without account access.),Fri Oct 06 15:06:00 +0000 2017,AppleSupport,"@USER CarPlay disconnects: test with a different cable if wired, or forget the car in Settings > General > CarPlay. Tell us whether it is wired or wireless and the car year."
gold_050,10002968,@AppleSupport personal hotspot drains and disconnects when my laptop joins,,connectivity,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Generic troubleshooting is historically handled in-thread without account access.),Fri Oct 06 18:36:00 +0000 2017,AppleSupport,"@USER CarPlay disconnects: test with a different cable if wired, or forget the car in Settings > General > CarPlay. Tell us whether it is wired or wireless and the car year."
gold_051,10002506,@AppleSupport hotspot from iPhone 7 connects then loses internet immediately,,connectivity,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Generic troubleshooting is historically handled in-thread without account access.),Thu Oct 05 21:01:00 +0000 2017,AppleSupport,"@USER CarPlay disconnects: test with a different cable if wired, or forget the car in Settings > General > CarPlay. Tell us whether it is wired or wireless and the car year."
gold_052,10002700,@AppleSupport MacBook Pro will not stay connected to Wi-Fi. drops every few minutes,customer: @AppleSupport I already tried that yesterday | brand: @USER Sorry it is not resolved yet. Let's try the next step.,connectivity,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Generic troubleshooting is historically handled in-thread without account access.),Fri Oct 06 06:47:00 +0000 2017,AppleSupport,"@USER Let's isolate Wi-Fi vs device. Forget the network (Settings > Wi-Fi > i), reboot the router, then rejoin. Does another device stay connected to the same network?"
gold_053,10002466,@AppleSupport CarPlay disconnects as soon as I start driving. iOS 10.3.3,,connectivity,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Generic troubleshooting is historically handled in-thread without account access.),Thu Oct 05 19:09:00 +0000 2017,AppleSupport,"@USER For Bluetooth drops, forget the accessory, toggle Bluetooth, and pair again while the case is open. Which accessory and iOS version are we looking at?"
gold_054,10002488,@AppleSupport personal hotspot drains and disconnects when my laptop joins,,connectivity,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Generic troubleshooting is historically handled in-thread without account access.),Thu Oct 05 20:12:00 +0000 2017,AppleSupport,"@USER Let's isolate Wi-Fi vs device. Forget the network (Settings > Wi-Fi > i), reboot the router, then rejoin. Does another device stay connected to the same network?"
gold_055,10002486,@AppleSupport Wi-Fi calling dropped 4 times today on iPhone 7 Plus,,connectivity,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Generic troubleshooting is historically handled in-thread without account access.),Thu Oct 05 20:05:00 +0000 2017,AppleSupport,@USER AirDrop needs Wi-Fi + Bluetooth on and the receiver set to Contacts Only or Everyone for 10 minutes. Are both devices signed into iCloud?
gold_056,10002806,@AppleSupport hotspot from iPhone 8 Plus connects then loses internet immediately,,connectivity,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Generic troubleshooting is historically handled in-thread without account access.),Fri Oct 06 11:01:00 +0000 2017,AppleSupport,"@USER CarPlay disconnects: test with a different cable if wired, or forget the car in Settings > General > CarPlay. Tell us whether it is wired or wireless and the car year."
gold_057,10002460,@AppleSupport MacBook Pro will not stay connected to Wi-Fi. drops every few minutes,customer: @AppleSupport I already tried that yesterday | brand: @USER Thanks for the extra detail. We are still looking at this with you.,connectivity,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Generic troubleshooting is historically handled in-thread without account access.),Thu Oct 05 19:35:00 +0000 2017,AppleSupport,@USER AirDrop needs Wi-Fi + Bluetooth on and the receiver set to Contacts Only or Everyone for 10 minutes. Are both devices signed into iCloud?
gold_058,10002934,@AppleSupport cannot pair Apple Watch to iPhone 7 Plus. Bluetooth dance fails,,connectivity,AUTO_HANDLE,,Primary intent from construction + labeling guide; single developer annotator. expected_action=AUTO_HANDLE (Generic troubleshooting is historically handled in-thread without account access.),Fri Oct 06 16:58:00 +0000 2017,AppleSupport,"@USER If Wi-Fi is greyed out, try a force restart. If the toggle stays grey, that can be hardware or a deeper software fault — we may need a support ticket."
